pickup_hour,pickup_count,distance_p90,price_stddev
19,805230,4.94,4402.5479198925395
18,799587,4.77,11.28245498247929
20,733952,5.62,11.79506033549244
21,711579,6.2,12.73417561860079
22,686959,6.44,11.754412061806535
17,668790,5.12,12.598013016649931
14,658887,5.79,13.806650119352634
15,648688,6.0,13.918948909472318
12,637479,4.95,12.078734126116377
13,635587,5.28,12.486768933392428
11,596504,5.04,12.240433278032084
23,592429,6.9,12.16176325902622
9,580034,5.0,11.484274761256746
16,576598,6.0,14.107028539787976
10,567818,5.19,12.020839977384627
8,561802,5.09,11.773627599371672
0,469971,6.9,12.013889912356719
7,456127,5.93,12.94689220952321
1,355145,6.74,11.746910126935102
6,268455,9.04,16.076172572944046
2,268133,6.8,11.257633432119905
3,198524,7.35,12.012484819873139
4,143271,9.2,14.887204115578848
5,127437,11.9,19.146754816421357
